Designator,Footprint,Quantity,Value,LCSC Part #
BT1,18650_HOLDER_TH,1,Battery_Cell,
C1,1206,1,0.1 ÂµF,C24497
C10,1206,1,47uF,C96123
C11,1206,1,1n,C35216
C2,1206,1,10000pF,C1846
C3,1206,1,100nF,C24497
C4,1206,1,4.7uF,C29823
C5,1206,1,0.1u,C24497
C6,1206,1,10u,C13585
C7,1206,1,4.7u,C29823
"C8, C9",1206,2,10pF,C29823
D1,Schottky Diode,1,MBR340,C475721
"D2, D4",0603,2,LED,C2286
IC1,SOT23-6,1,DW01A,C436931
"J1, J2",PinSocket_1x24_P2.54mm_Vertical,2,Conn_01x24_Socket,
J3,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,C5156617
J4,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,C5156614
J5,USB_Micro-B_XKB_U254-051T-4BH83-F1S,1,USB_B_Micro,C404969
L1,1206,1,10uH,C1051
Q1,SOT-23-6,1,FS8205A,C2830320
Q2,DFN100X60X35-3N,1,CSD13381F4,C20526
"R1, R15, R6, R7",1206,4,300,C17887
"R10, R11, R12, R13, R8",1206,5,1K,C4410
"R14, R26",1206,2,100k,C17900
R16,1206,1,750,C17985
R17,1206,1,100,C17900
"R18, R19, R24, R25",1206,4,10,C17903
R2,1206,1,4.7k,C17936
"R20, R21, R3, R31, R32, R4, R5",1206,7,0,C17888
"R22, R27, R28, R29, R30, R9",1206,6,10k,C17902
R23,1206,1,180,C17924
SW1,SW_PUSH_6mm,1,SW_Push,C273465
"TP1, TP11, TP12, TP13, TP14, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D1.5mm,12,TestPoint,
U1,SOT-353_SC-70-5,1,LMT87DCK,C206058
U2,ST_HLGA-10_2.5x2.5mm_P0.6mm_LayoutBorder3x2y,1,LPS22HB,C94049
U3,SOT-89-3,1,HT7533-1,C14289
U4,SOP-8-1EP_4.57x4.57mm_P1.27mm_EP4.57x4.45mm,1,TP4056,C16581
U5,SON45P300X300X80-13N,1,FT234XD-R,C132158
U7,CONV_TPS61022RWUR,1,TPS61022RWUR,C915088
U8,SOIC127P600X175-8N,1,AT24C256C-SSHL-T,C6482
Y1,Crystal_SMD_HC49-SD_HandSoldering,1,8Mhz,C188205
